category,frequency
Architecture,30
Art History,9
Arts & Entertainment,66
Autos & Vehicles,1
Beauty & Fitness,18
Books & Literature,41
Business & Industrial,104
Computer Science,91
Computers & Electronics,35
Design,19
Education,6
Finance,3
Food & Drink,9
Games,7
Health,5
Hobbies & Leisure,7
Jobs & Education,3
Law & Government,1
Machine Learning,37
Mathematics,11
Multimedia Software,29
News,102
People & Society,78
Physics,5
Politics,3
Psychology,22
Reference,13
Refference,1
Robotics,19
Science,62
Sensitive Subjects,2
Shopping,1
Software Development,66
Sports,9
Travel,29